dev,reg,side,p,n,asset
<t0,MR,down,0.0023897058823529414,5440,X:BTCUSD
<t0,MR,up,0.01784232365145228,4820,X:BTCUSD
<t0,NOISY,down,0.010385997685232188,98498,X:BTCUSD
<t0,NOISY,up,0.012132133289648659,103774,X:BTCUSD
<t0,TREND,down,0.015171812205987725,32099,X:BTCUSD
<t0,TREND,up,0.017404650893400132,34531,X:BTCUSD
t0-t1,MR,down,,9,X:BTCUSD
t0-t1,MR,up,,3,X:BTCUSD
t0-t1,NOISY,down,0.05309734513274336,113,X:BTCUSD
t0-t1,NOISY,up,0.1044776119402985,67,X:BTCUSD
t0-t1,TREND,down,0.09375,96,X:BTCUSD
t0-t1,TREND,up,0.054945054945054944,91,X:BTCUSD
t1-t2,NOISY,down,,11,X:BTCUSD
t1-t2,NOISY,up,,4,X:BTCUSD
t1-t2,TREND,down,,10,X:BTCUSD
t1-t2,TREND,up,,10,X:BTCUSD
>t2,NOISY,down,,3,X:BTCUSD
>t2,NOISY,up,,3,X:BTCUSD
>t2,TREND,down,,3,X:BTCUSD
<t0,MR,down,0.015136558078315236,3039,X:ETHUSD
<t0,MR,up,0.01719662556781311,3082,X:ETHUSD
<t0,NOISY,down,0.01477949448349176,96891,X:ETHUSD
<t0,NOISY,up,0.01661142834324961,100172,X:ETHUSD
<t0,TREND,down,0.02476805831676607,36216,X:ETHUSD
<t0,TREND,up,0.026608439547047173,39386,X:ETHUSD
t0-t1,MR,down,,8,X:ETHUSD
t0-t1,MR,up,,5,X:ETHUSD
t0-t1,NOISY,down,0.07112970711297072,239,X:ETHUSD
t0-t1,NOISY,up,0.07784431137724551,167,X:ETHUSD
t0-t1,TREND,down,0.13194444444444445,144,X:ETHUSD
t0-t1,TREND,up,0.0851063829787234,141,X:ETHUSD
t1-t2,MR,down,,1,X:ETHUSD
t1-t2,NOISY,down,,17,X:ETHUSD
t1-t2,NOISY,up,,10,X:ETHUSD
t1-t2,TREND,down,,14,X:ETHUSD
t1-t2,TREND,up,,8,X:ETHUSD
>t2,MR,down,,1,X:ETHUSD
>t2,NOISY,down,,10,X:ETHUSD
>t2,NOISY,up,,3,X:ETHUSD
>t2,TREND,down,,13,X:ETHUSD
>t2,TREND,up,,2,X:ETHUSD
<t0,MR,down,0.029743589743589743,1950,X:SOLUSD
<t0,MR,up,0.015157558835261268,2507,X:SOLUSD
<t0,NOISY,down,0.03505154639175258,107185,X:SOLUSD
<t0,NOISY,up,0.03667012787771635,106899,X:SOLUSD
<t0,TREND,down,0.042044101194557724,27709,X:SOLUSD
<t0,TREND,up,0.04388356049133434,29715,X:SOLUSD
t0-t1,MR,down,,8,X:SOLUSD
t0-t1,MR,up,,11,X:SOLUSD
t0-t1,NOISY,down,0.1347785108388313,1061,X:SOLUSD
t0-t1,NOISY,up,0.09455587392550144,1047,X:SOLUSD
t0-t1,TREND,down,0.14322916666666666,384,X:SOLUSD
t0-t1,TREND,up,0.09424083769633508,382,X:SOLUSD
t1-t2,NOISY,down,0.18085106382978725,94,X:SOLUSD
t1-t2,NOISY,up,0.125,72,X:SOLUSD
t1-t2,TREND,down,0.18181818181818182,33,X:SOLUSD
t1-t2,TREND,up,0.15789473684210525,38,X:SOLUSD
>t2,NOISY,down,0.21428571428571427,42,X:SOLUSD
>t2,NOISY,up,,18,X:SOLUSD
>t2,TREND,down,,13,X:SOLUSD
>t2,TREND,up,,10,X:SOLUSD
<t0,MR,down,0.006329113924050633,3792,X:XRPUSD
<t0,MR,up,0.01724987678659438,4058,X:XRPUSD
<t0,NOISY,down,0.02155805494494662,101447,X:XRPUSD
<t0,NOISY,up,0.023403314717743755,110839,X:XRPUSD
<t0,TREND,down,0.030273763976078154,26921,X:XRPUSD
<t0,TREND,up,0.038318743826424605,29359,X:XRPUSD
t0-t1,MR,down,0.04,25,X:XRPUSD
t0-t1,MR,up,,12,X:XRPUSD
t0-t1,NOISY,down,0.10991957104557641,746,X:XRPUSD
t0-t1,NOISY,up,0.11756935270805813,757,X:XRPUSD
t0-t1,TREND,down,0.12672176308539945,363,X:XRPUSD
t0-t1,TREND,up,0.09024390243902439,410,X:XRPUSD
t1-t2,NOISY,down,0.1388888888888889,72,X:XRPUSD
t1-t2,NOISY,up,0.1506849315068493,73,X:XRPUSD
t1-t2,TREND,down,0.34782608695652173,46,X:XRPUSD
t1-t2,TREND,up,0.13953488372093023,43,X:XRPUSD
>t2,MR,down,,1,X:XRPUSD
>t2,NOISY,down,0.06382978723404255,47,X:XRPUSD
>t2,NOISY,up,0.19230769230769232,52,X:XRPUSD
>t2,TREND,down,,15,X:XRPUSD
>t2,TREND,up,,18,X:XRPUSD
<t0,MR,down,0.024577082668368975,3133,X:ADAUSD
<t0,MR,up,0.028782287822878228,2710,X:ADAUSD
<t0,NOISY,down,0.028944349363374772,106342,X:ADAUSD
<t0,NOISY,up,0.02960369095112221,102521,X:ADAUSD
<t0,TREND,down,0.043316912972085383,30450,X:ADAUSD
<t0,TREND,up,0.0448140072249162,30727,X:ADAUSD
t0-t1,MR,down,,8,X:ADAUSD
t0-t1,MR,up,,14,X:ADAUSD
t0-t1,NOISY,down,0.09847715736040609,985,X:ADAUSD
t0-t1,NOISY,up,0.08658536585365853,820,X:ADAUSD
t0-t1,TREND,down,0.1066350710900474,422,X:ADAUSD
t0-t1,TREND,up,0.1257606490872211,493,X:ADAUSD
t1-t2,MR,up,,1,X:ADAUSD
t1-t2,NOISY,down,0.13333333333333333,90,X:ADAUSD
t1-t2,NOISY,up,0.09523809523809523,63,X:ADAUSD
t1-t2,TREND,down,0.17647058823529413,34,X:ADAUSD
