asset,regime,triggers,success,p
X:BTCUSD,MR,1043,100,0.09587727708533078
X:BTCUSD,NOISY,26584,2301,0.08655582305145952
X:BTCUSD,TREND,11919,1106,0.09279301954861985
X:ETHUSD,MR,998,99,0.09919839679358718
X:ETHUSD,NOISY,40288,3132,0.07774027005559968
X:ETHUSD,TREND,20959,1985,0.09470871701894175
X:SOLUSD,MR,1215,98,0.08065843621399177
X:SOLUSD,NOISY,82083,7956,0.09692628193413984
X:SOLUSD,TREND,25024,2573,0.10282129156010231
X:BNBUSD,MR,0,0,
X:BNBUSD,NOISY,0,0,
X:BNBUSD,TREND,0,0,
X:XRPUSD,MR,1297,97,0.07478797224363917
X:XRPUSD,NOISY,52438,4986,0.0950837179144895
X:XRPUSD,TREND,19438,2051,0.10551497067599547
X:ADAUSD,MR,1575,158,0.10031746031746032
X:ADAUSD,NOISY,69457,6305,0.09077558777373052
X:ADAUSD,TREND,25390,2833,0.11157936195352501
X:DOGEUSD,MR,1895,175,0.09234828496042216
X:DOGEUSD,NOISY,67384,6591,0.09781253710079545
X:DOGEUSD,TREND,27426,3120,0.1137606650623496
X:AVAXUSD,MR,2326,252,0.10834049871023216
X:AVAXUSD,NOISY,74239,7047,0.09492315359851292
X:AVAXUSD,TREND,35553,3587,0.10089162658566085
X:DOTUSD,MR,2431,198,0.08144796380090498
X:DOTUSD,NOISY,65893,5881,0.08925075501191325
X:DOTUSD,TREND,26431,2489,0.09416972494419432
X:MATICUSD,MR,2326,237,0.10189165950128977
X:MATICUSD,NOISY,72358,7198,0.09947759750131292
X:MATICUSD,TREND,25987,2609,0.10039635202216493
